vacancy_id,candidate_id,label,reason
V001,C001,match,"Совпадение навыков: 3; опыт 1 лет."
V001,C007,match,"Совпадение навыков: 2; опыт 7 лет."
V002,C002,match,"Совпадение навыков: 3; опыт 2 лет."
V003,C003,match,"Совпадение навыков: 3; опыт 3 лет."
V004,C004,match,"Совпадение навыков: 3; опыт 4 лет."
V005,C005,match,"Совпадение навыков: 3; опыт 5 лет."
V006,C006,match,"Совпадение навыков: 3; опыт 6 лет."
V007,C007,match,"Совпадение навыков: 3; опыт 7 лет."
V008,C008,match,"Совпадение навыков: 3; опыт 8 лет."
V009,C009,match,"Совпадение навыков: 3; опыт 9 лет."
V010,C010,match,"Совпадение навыков: 3; опыт 10 лет."
V011,C011,match,"Совпадение навыков: 3; опыт 11 лет."
V012,C012,match,"Совпадение навыков: 3; опыт 12 лет."
V013,C013,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V014,C014,match,"Совпадение навыков: 2; опыт 1 лет."
V015,C015,match,"Совпадение навыков: 2; опыт 2 лет."
V016,C016,match,"Совпадение навыков: 2; опыт 3 лет."
V017,C017,match,"Совпадение навыков: 2; опыт 4 лет."
V018,C018,match,"Совпадение навыков: 2; опыт 5 лет."
V019,C019,match,"Совпадение навыков: 2; опыт 6 лет."
V020,C020,match,"Совпадение навыков: 2; опыт 7 лет."
V021,C021,match,"Совпадение навыков: 3; опыт 8 лет."
V022,C022,match,"Совпадение навыков: 3; опыт 9 лет."
V023,C023,match,"Совпадение навыков: 3; опыт 10 лет."
V024,C024,match,"Совпадение навыков: 3; опыт 11 лет."
V025,C025,match,"Совпадение навыков: 3; опыт 12 лет."
V026,C026,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V027,C027,match,"Совпадение навыков: 2; опыт 1 лет."
V028,C028,match,"Совпадение навыков: 2; опыт 2 лет."
V029,C029,match,"Совпадение навыков: 2; опыт 3 лет."
V030,C030,match,"Совпадение навыков: 2; опыт 4 лет."
V031,C031,match,"Совпадение навыков: 3; опыт 5 лет."
V032,C032,match,"Совпадение навыков: 3; опыт 6 лет."
V033,C033,match,"Совпадение навыков: 3; опыт 7 лет."
V034,C034,match,"Совпадение навыков: 3; опыт 8 лет."
V035,C035,match,"Совпадение навыков: 3; опыт 9 лет."
V036,C036,match,"Совпадение навыков: 3; опыт 10 лет."
V037,C037,match,"Совпадение навыков: 3; опыт 11 лет."
V038,C038,match,"Совпадение навыков: 3; опыт 12 лет."
V039,C039,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V040,C040,match,"Совпадение навыков: 2; опыт 1 лет."
V041,C041,match,"Совпадение навыков: 2; опыт 2 лет."
V042,C042,match,"Совпадение навыков: 2; опыт 3 лет."
V043,C043,match,"Совпадение навыков: 2; опыт 4 лет."
V044,C044,match,"Совпадение навыков: 2; опыт 5 лет."
V045,C045,match,"Совпадение навыков: 2; опыт 6 лет."
V046,C046,match,"Совпадение навыков: 2; опыт 7 лет."
V047,C047,match,"Совпадение навыков: 2; опыт 8 лет."
V048,C048,match,"Совпадение навыков: 2; опыт 9 лет."
V049,C049,match,"Совпадение навыков: 2; опыт 10 лет."
V050,C050,match,"Совпадение навыков: 2; опыт 11 лет."
V051,C051,match,"Совпадение навыков: 2; опыт 12 лет."
V052,C052,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V053,C053,match,"Совпадение навыков: 2; опыт 1 лет."
V054,C054,match,"Совпадение навыков: 2; опыт 2 лет."
V055,C055,match,"Совпадение навыков: 2; опыт 3 лет."
V056,C056,match,"Совпадение навыков: 2; опыт 4 лет."
V057,C057,match,"Совпадение навыков: 2; опыт 5 лет."
V058,C058,match,"Совпадение навыков: 2; опыт 6 лет."
V059,C059,match,"Совпадение навыков: 2; опыт 7 лет."
V060,C060,match,"Совпадение навыков: 2; опыт 8 лет."
V061,C061,match,"Совпадение навыков: 3; опыт 9 лет."
V062,C062,match,"Совпадение навыков: 3; опыт 10 лет."
V063,C063,match,"Совпадение навыков: 3; опыт 11 лет."
V064,C064,match,"Совпадение навыков: 3; опыт 12 лет."
V065,C065,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V066,C066,match,"Совпадение навыков: 2; опыт 1 лет."
V067,C067,match,"Совпадение навыков: 2; опыт 2 лет."
V068,C068,match,"Совпадение навыков: 2; опыт 3 лет."
V069,C069,match,"Совпадение навыков: 2; опыт 4 лет."
V070,C070,match,"Совпадение навыков: 2; опыт 5 лет."
V071,C071,match,"Совпадение навыков: 2; опыт 6 лет."
V072,C072,match,"Совпадение навыков: 2; опыт 7 лет."
V073,C073,match,"Совпадение навыков: 2; опыт 8 лет."
V074,C074,match,"Совпадение навыков: 2; опыт 9 лет."
V075,C075,match,"Совпадение навыков: 2; опыт 10 лет."
V076,C076,match,"Совпадение навыков: 2; опыт 11 лет."
V077,C077,match,"Совпадение навыков: 2; опыт 12 лет."
V078,C078,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V079,C079,match,"Совпадение навыков: 2; опыт 1 лет."
V080,C080,match,"Совпадение навыков: 2; опыт 2 лет."
V081,C081,match,"Совпадение навыков: 2; опыт 3 лет."
V082,C082,match,"Совпадение навыков: 2; опыт 4 лет."
V083,C083,match,"Совпадение навыков: 2; опыт 5 лет."
V084,C084,match,"Совпадение навыков: 2; опыт 6 лет."
V085,C085,match,"Совпадение навыков: 2; опыт 7 лет."
V086,C086,match,"Совпадение навыков: 2; опыт 8 лет."
V087,C087,match,"Совпадение навыков: 2; опыт 9 лет."
V088,C088,match,"Совпадение навыков: 2; опыт 10 лет."
V089,C089,match,"Совпадение навыков: 2; опыт 11 лет."
V090,C090,match,"Совпадение навыков: 2; опыт 12 лет."
V091,C091,no_match,"Недостаточное совпадение навыков (1) или мало опыта (0 лет)."
V092,C092,match,"Совпадение навыков: 2; опыт 1 лет."
V093,C093,match,"Совпадение навыков: 2; опыт 2 лет."
V094,C094,match,"Совпадение навыков: 2; опыт 3 лет."
V095,C095,match,"Совпадение навыков: 2; опыт 4 лет."
V096,C096,match,"Совпадение навыков: 2; опыт 5 лет."
V097,C097,match,"Совпадение навыков: 2; опыт 6 лет."
V098,C098,match,"Совпадение навыков: 2; опыт 7 лет."
V099,C099,match,"Совпадение навыков: 2; опыт 8 лет."
V100,C100,match,"Совпадение навыков: 2; опыт 9 лет."